segment_cgu,fiscal_year,goodwill_balance_mkrw,impairment_loss_mkrw,impairment_reason,source
DX,2023,1256815,0,,samsung 연결감사보고서 제56기(FY2024)/제55기(FY2023) 비교표
DS,2023,164607,0,,samsung 연결감사보고서 제56기(FY2024)/제55기(FY2023) 비교표
SDC,2023,343967,0,,samsung 연결감사보고서 제56기(FY2024)/제55기(FY2023) 비교표
Harman,2023,4691440,0,,samsung 연결감사보고서 제56기(FY2024)/제55기(FY223) 비교표
기타,2023,790,0,,samsung 연결감사보고서 제56기(FY2024)/제55기(FY2023) 비교표
DX,2024,1463566,0,,samsung 연결감사보고서 제56기(FY2024) 당기
DS,2024,176885,0,,samsung 연결감사보고서 제56기(FY2024) 당기
SDC,2024,380897,0,,samsung 연결감사보고서 제56기(FY2024) 당기
Harman,2024,5146242,0,,samsung 연결감사보고서 제56기(FY2024) 당기
기타,2024,951,0,,samsung 연결감사보고서 제56기(FY2024) 당기
DX,2025,5442473,6871,서비스 및 기술 환경 변화에 따른 사업성 하락,samsung 연결감사보고서 제57기(FY2025) 당기
DS,2025,107081,96008,서비스 및 기술 환경 변화에 따른 사업성 하락,samsung 연결감사보고서 제57기(FY2025) 당기
SDC,2025,373720,0,,samsung 연결감사보고서 제57기(FY2025) 당기
Harman,2025,5180928,145612,DTS 사업부 매각,samsung 연결감사보고서 제57기(FY2025) 당기
기타,2025,1031,0,,samsung 연결감사보고서 제57기(FY2025) 당기
