company,fiscal_year,basis,shift_months,year_index,baseline_depreciation_mkrw,scenario_depreciation_mkrw,delta_depreciation_mkrw,delta_net_income_mkrw,cumulative_delta_net_income_mkrw
skhynix,2023,consolidated,6,1,494050,988100,494050,-385359,-385359
skhynix,2023,consolidated,6,2,988100,988100,0,0,-385359
skhynix,2023,consolidated,6,3,988100,988100,0,0,-385359
skhynix,2023,consolidated,6,4,988100,988100,0,0,-385359
skhynix,2023,consolidated,6,5,988100,988100,0,0,-385359
skhynix,2023,consolidated,6,6,494050,0,-494050,385359,0
skhynix,2023,consolidated,-6,1,494050,0,-494050,385359,385359
skhynix,2023,consolidated,-6,2,988100,988100,0,0,385359
skhynix,2023,consolidated,-6,3,988100,988100,0,0,385359
skhynix,2023,consolidated,-6,4,988100,988100,0,0,385359
skhynix,2023,consolidated,-6,5,988100,988100,0,0,385359
skhynix,2023,consolidated,-6,6,494050,988100,494050,-385359,0
skhynix,2023,separate,6,1,443854,887708,443854,-346206,-346206
skhynix,2023,separate,6,2,887708,887708,0,0,-346206
skhynix,2023,separate,6,3,887708,887708,0,0,-346206
skhynix,2023,separate,6,4,887708,887708,0,0,-346206
skhynix,2023,separate,6,5,887708,887708,0,0,-346206
skhynix,2023,separate,6,6,443854,0,-443854,346206,0
skhynix,2023,separate,-6,1,443854,0,-443854,346206,346206
skhynix,2023,separate,-6,2,887708,887708,0,0,346206
skhynix,2023,separate,-6,3,887708,887708,0,0,346206
skhynix,2023,separate,-6,4,887708,887708,0,0,346206
skhynix,2023,separate,-6,5,887708,887708,0,0,346206
skhynix,2023,separate,-6,6,443854,887708,443854,-346206,0
skhynix,2025,consolidated,6,1,1761870,3523741,1761870,-1374258,-1374258
skhynix,2025,consolidated,6,2,3523741,3523741,0,0,-1374258
skhynix,2025,consolidated,6,3,3523741,3523741,0,0,-1374258
skhynix,2025,consolidated,6,4,3523741,3523741,0,0,-1374258
skhynix,2025,consolidated,6,5,3523741,3523741,0,0,-1374258
skhynix,2025,consolidated,6,6,1761870,0,-1761870,1374258,0
skhynix,2025,consolidated,-6,1,1761870,0,-1761870,1374258,1374258
skhynix,2025,consolidated,-6,2,3523741,3523741,0,0,1374258
skhynix,2025,consolidated,-6,3,3523741,3523741,0,0,1374258
skhynix,2025,consolidated,-6,4,3523741,3523741,0,0,1374258
skhynix,2025,consolidated,-6,5,3523741,3523741,0,0,1374258
skhynix,2025,consolidated,-6,6,1761870,3523741,1761870,-1374258,0
samsung,2024,consolidated,6,1,4021959,8043919,4021959,-3137128,-3137128
samsung,2024,consolidated,6,2,8043919,8043919,0,0,-3137128
samsung,2024,consolidated,6,3,8043919,8043919,0,0,-3137128
samsung,2024,consolidated,6,4,8043919,8043919,0,0,-3137128
samsung,2024,consolidated,6,5,8043919,8043919,0,0,-3137128
samsung,2024,consolidated,6,6,4021959,0,-4021959,3137128,0
samsung,2024,consolidated,-6,1,4021959,0,-4021959,3137128,3137128
samsung,2024,consolidated,-6,2,8043919,8043919,0,0,3137128
samsung,2024,consolidated,-6,3,8043919,8043919,0,0,3137128
samsung,2024,consolidated,-6,4,8043919,8043919,0,0,3137128
samsung,2024,consolidated,-6,5,8043919,8043919,0,0,3137128
samsung,2024,consolidated,-6,6,4021959,8043919,4021959,-3137128,0
samsung,2025,consolidated,6,1,3877388,7754776,3877388,-3024362,-3024362
samsung,2025,consolidated,6,2,7754776,7754776,0,0,-3024362
samsung,2025,consolidated,6,3,7754776,7754776,0,0,-3024362
samsung,2025,consolidated,6,4,7754776,7754776,0,0,-3024362
samsung,2025,consolidated,6,5,7754776,7754776,0,0,-3024362
samsung,2025,consolidated,6,6,3877388,0,-3877388,3024362,0
samsung,2025,consolidated,-6,1,3877388,0,-3877388,3024362,3024362
samsung,2025,consolidated,-6,2,7754776,7754776,0,0,3024362
samsung,2025,consolidated,-6,3,7754776,7754776,0,0,3024362
samsung,2025,consolidated,-6,4,7754776,7754776,0,0,3024362
samsung,2025,consolidated,-6,5,7754776,7754776,0,0,3024362
samsung,2025,consolidated,-6,6,3877388,7754776,3877388,-3024362,0
