company,fiscal_year,basis,population_at_risk_mkrw,is_approximation,shift_months,months_depreciated,delta_depreciation_mkrw,delta_cogs_mkrw,delta_operating_income_mkrw,delta_net_income_mkrw
skhynix,2023,consolidated,4940500,False,-6,0,-494050,-458380,494050,385359
skhynix,2023,consolidated,4940500,False,-3,3,-247025,-229190,247025,192680
skhynix,2023,consolidated,4940500,False,-1,5,-82342,-76397,82342,64226
skhynix,2023,consolidated,4940500,False,0,6,0,0,-0,-0
skhynix,2023,consolidated,4940500,False,1,7,82342,76397,-82342,-64227
skhynix,2023,consolidated,4940500,False,3,9,247025,229190,-247025,-192680
skhynix,2023,consolidated,4940500,False,6,12,494050,458380,-494050,-385359
skhynix,2023,separate,4438544,False,-6,0,-443854,-403064,443854,346206
skhynix,2023,separate,4438544,False,-3,3,-221927,-201532,221927,173103
skhynix,2023,separate,4438544,False,-1,5,-73976,-67177,73976,57701
skhynix,2023,separate,4438544,False,0,6,0,0,-0,-0
skhynix,2023,separate,4438544,False,1,7,73976,67177,-73976,-57701
skhynix,2023,separate,4438544,False,3,9,221927,201532,-221927,-173103
skhynix,2023,separate,4438544,False,6,12,443854,403064,-443854,-346206
skhynix,2025,consolidated,17618705,False,-6,0,-1761870,-1647349,1761870,1374259
skhynix,2025,consolidated,17618705,False,-3,3,-880935,-823674,880935,687129
skhynix,2025,consolidated,17618705,False,-1,5,-293645,-274558,293645,229043
skhynix,2025,consolidated,17618705,False,0,6,0,0,-0,-0
skhynix,2025,consolidated,17618705,False,1,7,293645,274558,-293645,-229043
skhynix,2025,consolidated,17618705,False,3,9,880935,823674,-880935,-687129
skhynix,2025,consolidated,17618705,False,6,12,1761870,1647349,-1761870,-1374259
samsung,2024,consolidated,40219596,True,-6,0,-4021960,-3559032,4021960,3137128
samsung,2024,consolidated,40219596,True,-3,3,-2010980,-1779516,2010980,1568564
samsung,2024,consolidated,40219596,True,-1,5,-670327,-593172,670327,522855
samsung,2024,consolidated,40219596,True,0,6,0,0,-0,-0
samsung,2024,consolidated,40219596,True,1,7,670327,593172,-670327,-522855
samsung,2024,consolidated,40219596,True,3,9,2010980,1779516,-2010980,-1568564
samsung,2024,consolidated,40219596,True,6,12,4021960,3559032,-4021960,-3137128
samsung,2025,consolidated,38773884,True,-6,0,-3877388,-3388062,3877388,3024363
samsung,2025,consolidated,38773884,True,-3,3,-1938694,-1694031,1938694,1512181
samsung,2025,consolidated,38773884,True,-1,5,-646231,-564677,646231,504060
samsung,2025,consolidated,38773884,True,0,6,0,0,-0,-0
samsung,2025,consolidated,38773884,True,1,7,646231,564677,-646231,-504060
samsung,2025,consolidated,38773884,True,3,9,1938694,1694031,-1938694,-1512181
samsung,2025,consolidated,38773884,True,6,12,3877388,3388062,-3877388,-3024363
